n,seccion,comentario_limpio
15176,1,No se llevaban los platos y la mesa estaba muy llena.
15177,1,Felicitaciones por la rapidez y excelente servicio. Los visito desde Aguascalientes. 😘
15178,5,Gran servicio.
15179,4,Muchas gracias.
15180,1,El mesero José Miguel fue muy atento.
15181,5,Todo muy rico y muy buen precio.
15182,2,Que agregaran refrescos o bebidas de marcas mexicanas a la carta.
15183,5,"Ninguno negativo, excelente servicio y atención."
15184,2,Que no se note tanto la desesperación de los meseros por tener buena calificación.
15185,2,Que todos los días hagan rica la comida.
15186,1,BIEN ATENDIDOS POR JOSÉ MIGUEL
15187,5,Muy rico y muy buen servicio.
15188,5,Podrían incluirte.
15189,5,Prestar un poquito de atención a la forma en que pide el cliente la carne o los huevos. Lo demás está muy bueno.
15190,5,Todo bien
15191,2,Excelente servicio y atención de la capitana Tania.
15192,5,Muy rica la comida.
15193,1,"Que antes de pasar alguna entrada, mencionen si tienen precio extra."
15194,4,Regresar a la calidad y sabor de antes.
15195,2,Buenas comidas a buen precio con buen servicio.
15196,2,"Nada que agregar, excelente servicio."
15197,1,"Todos conocen la casa de Toño, no es necesario pedir siempre encuesta, es cansado para los clientes que somos recurrentes. Los meseros, muy amables, lo solicitan, pero es cansado tener que llenarlo. La calidad, el servicio, el sabor y el precio son muy buenos. El personal es muy amable."
15198,5,Sería bueno que pongan contactos electrónicos en algunas paredes o columnas para recargar el celular cuando uno trae la pila baja. La última vez no entré y me fui porque necesitaba recargar al menos un poco la pila de mi celular mientras desayunaba.
15199,5,Todo excelente!!
15200,5,Buen servicio y amable el personal.
15201,5,Todas las personas que trabajan en la sucursal de Madero son excelentes.
15202,2,"Excelente servicio, ¡todos muy amables!"
15203,5,"Pedí unos huevos divorciados, creo que vendría bien que te den unas tostadas extras. Y los cubiertos estaban chuecos."
15204,1,Mariana
15205,5,"Gracias por sus servicios, calidad y sabor 💯🦅"
15206,1,La capitana Mariana está muy guapa 😘
15207,1,"El servicio en sucursal es bueno; sin embargo, el servicio a domicilio últimamente ha sido muy deficiente (tanto en calidad como en cantidad), además de que reiteradamente mis pedidos llegan incompletos."
15208,5,Sólo mejorar la calidad del café americano.
15209,5,Excelente servicio!!!
15210,5,Muy agradable el ambiente y la atención del servicio...
15211,5,ABRAN SUCURSAL EN MONTERREY
15212,5,Bueno
15213,2,"Solo creo que no deberían estar quitando los platos todo el tiempo, ya que parecería que no se puede hacer sobremesa. Sería comprensible en un fin de semana."
15214,5,"La experiencia fue increíble ya que la comida, al ser tan buena, uno sale del establecimiento feliz y con sensación de satisfacción."
15215,2,Gracias por el servicio.
15216,5,"Continuar con la misma agilidad, amabilidad y precios accesibles."
15217,5,Todo excelente.
15218,2,Que actualicen los precios de la manteleta de la mesa.
15219,4,Buen servicio
15220,2,"Se revolvieron con las órdenes de chilaquiles, por lo cual me llegó mucho después mis chilaquiles."
15221,5,Buen servicio
15222,4,Excelente servicio
15223,2,"Deben cuidar un poco más la calidad de sus alimentos y la estandarización correcta, ya que varía mucho de un establecimiento a otro."
15224,5,Muchas gracias.
15225,1,Todo muy bien.
15226,5,Amo el servicio.
15227,5,Muy rico
15228,5,Muy buen excelente servicio.
15229,5,"Todo excelente con el mesero, Daniel."
15230,5,"El chocolate está muy, pero muy dulce."
15231,1,"La comida riquísima, el servicio muy eficiente y amable. Srita. Mariana, nunca deje de sonreír, ¡me hizo el día! Gracias, Rogelio Cárdenas."
15232,5,"Segundo día de visita en la ciudad y segundo día que venimos, estamos encantados con sus servicios."
15233,2,Todo excelente.
15234,2,Antes venía más por las modelos. No me gustó que la cerveza sea del grupo Cuauhtémoc.
15235,2,Precios un poco elevados los excedentes.
15236,2,El precio de los extras.
15237,5,"Tardaron con mis alimentos, quise cancelar y me dijeron que ya venía cuando pasó más tiempo."
15238,5,"Todo bien, excelente servicio."
15239,2,"Todo muy bien, muy buen servicio y platillos."
15240,2,Excelente servicio.
15241,5,Los meseros constantemente se acercan a mi mesa presionando para que me retire. No me permiten comer tranquila y a gusto. Pésimo.
15242,5,Somos de Costa Rica y siempre que venimos a Ciudad de México no puede faltar la visita a este delicioso lugar.
15243,5,"Todo fue excelente: comida, precio, atención. Agradecemos desde Cd. Juárez, Chihuahua."
15244,5,Todo muy rico y bueno.
15245,5,Me encantó.
15246,5,Me encanta el servicio súper veloz.
15247,5,"Excelente atención y la comida súper bien, ya es momento de tener sucursales en otro estado. Los esperamos en Acapulco, Guerrero."
15248,4,Extraño a la señora y su tablet.
15249,5,Todo
15250,4,Ya no tienen cerveza Corona ni Modelo. ¡Eso no está bien!
15251,5,"Los visitamos de Colombia hace dos años, estuvimos acá y la experiencia es muy deliciosa. Nos encantó y por eso volvimos. Lo recomiendo 100%."
15252,2,Me gustaría que el pozole estuviera caliente cuando llegue a mi mesa.
15253,5,Todo bien
15254,5,Todo excelente. Gracias.
15255,5,Muy buen servicio.
15256,5,Todo excepcional.
15257,5,Excelente servicio.
15258,5,"Excelente servicio, la calidad de los alimentos es genial, muy delicioso todo. Gracias al personal por todas las atenciones y su amabilidad."
15259,5,Muy buena sucursal 😀 excelente servicio de todo el personal y su preparación de alimentos muy buenos 😉.
15260,5,La salsa verde me encanta.
15261,5,Sin comentarios
15262,5,Cambiaron el sabor del café capuchino; era mejor el anterior.
15263,4,❤️
15264,2,Que no pregunten tanto muchos meseros si tenemos todo completo muchas veces porque suele ser castroso.
15265,5,Buen servicio
15266,4,Buen servicio
15267,5,Excelente atención del capitán.
15268,5,10-oct
15269,5,Si pedí huevos divorciados y las tortillas estaban muy duras.
15270,1,Excelente atención
15271,5,Gracias por sus servicios y atenciones.
15272,1,"Excelente servicio por parte de los meseros y el capitán. En realidad, me gusta mucho el lugar y asistimos seguido en familia. Solo esta vez el pozole estaba muy recalentado; solo es la única observación que hago."
15273,2,Todo muy limpio y entregado a tiempo. Me agradó mucho comer aquí.
15274,5,Muy bueno
15275,5,Excelente servicio
15276,5,"Muy bueno todo, me gusta el postre con helado. El arroz con leche se sentía duro."
15277,4,"Todo bien, muchas gracias."
15278,5,Gracias
15279,4,"En general, todo es muy bueno."
15280,2,Gracias por la atención.
15281,4,Pongan una sucursal en Puebla.
15282,4,Que regresen la cerveza Modelo.
15283,4,Regreso de Grupo Modelo
15284,5,Excelente servicio
15285,4,No me agradó que las salsas fueran de botellas y el flan ya está demasiado dulce.
15286,2,Me gusta mucho el sabor de los platillos y la atención rápida del personal.
15287,5,Que den más barato en refresco.
15288,5,"Buena atención por parte de los meseros y sus capitanes, en especial la del moño grande, muy amable."
15289,5,Incluyan o tengan la opción de lechuga en chilaquiles y enchiladas.
15290,5,Agregar huitlacoche para las quesadillas.
15291,5,"Fue una buena experiencia y nos atendieron muy bien, nos atendió Aldo en la sucursal de Madero. Todo muy bien, buen servicio."
15292,5,La carne del pozole no la degusté fresca.
15293,2,"Gracias, buen servicio."
15294,5,No deberían correr.
15295,5,"Que aperturen casa de Toño en provincia, somos de Morelia, Michoacán y ahí no tenemos."
15296,5,Solo que corren mucho.
15297,5,Muy bueno.
15298,5,El mesero es muy amable y atento. 😊
15299,5,"Excelente servicio y calidad, mil gracias."
15300,5,"Gracias por su atención, muy bueno."
15301,5,Todo muy rico.
15302,2,"Muy bien servicio, atención y distribución de las mesas."
15303,5,Solo que subieron mucho los precios.
15304,5,Muy recomendable
15305,5,Buena comida y buen tiempo para servir.
15306,5,"Felicidades, ¡EXCELENTE trabajo!"
15307,2,Extraño a la mesera que ya no está.
15308,4,Muy buen servicio y muy amables todos.
15309,1,"Pongan pambazos en el menú, se los he pedido por años, por favor."
15310,4,"No es tan grave, solamente las enfrijoladas que ordené se excedieron de sal, que fue compensada con la crema y el queso, pero lo demás, excelente."
15311,4,"Su servicio es excelente, súper amable todo el personal y muy rica la comida."
15312,4,Me gusta venir a esta sucursal.
15313,2,Delicioso
15314,5,"Edgar, mesero y también el capitán, excelente."
15315,2,Todo muy bien!!!
15316,5,"Enrique Quirino fue muy amable, al igual que el personal de limpieza."
15317,5,"El servicio, excelente; todos fueron muy amables y nos atendieron súper rápido. La comida, exquisita como siempre."
15318,2,Excelente servicio
15319,5,Excelente lugar
15320,2,"El agua de sabor, precio elevado."
15321,5,Todo estuvo muy bien.
15322,4,Cálidas en la carne de res
15323,1,Birria
15324,2,"En general, todo muy bien. Sin embargo, respecto a niños pequeños, alguna dinámica sería útil porque tienden a aburrirse mientras los demás comensales terminan sus platillos. ¡Gracias!"
15325,4,"Excelente, gracias."
15326,2,Excelente servicio
15327,2,Me gusta mucho; voy seguido por el pozole.
15328,2,"El personal, muy atento, excelente servicio."
15329,2,"Me encanta venir, solo que me gustaría que para la próxima vez no se tardaran tanto en traer la comida y que pusieran en la tele un programa para niños o algo así, por favor. ¡Gracias! ❤️ Y claro que volvería."
15330,5,"Si el chile de las enchiladas estuviera un poco más espeso y que picara un poco más, el sabor agradable me gustó, pero añadiría eso."
15331,1,Pongan atención al entregar las salsas. Nunca llegaron.
15332,5,"Felicidades! Quiero una sucursal en San Luis Potosí, S. L. P."
15333,2,que no estén tanto sobre ti preguntando por ti
15334,5,Pongan una casa de Toño en Cd. Juárez.
15335,5,"Fue excelente la atención y servicio por parte de la C. Karina, así como la bienvenida y calidez por parte del establecimiento."
15336,1,Muy buen servicio y calidad.
15337,5,"Excelente servicio y trato al cliente, así como los precios, son muy accesibles. Deberían meter más variedad de postres y cafés."
15338,1,"Sigan así, sigan así."
15339,5,Excelente servicio
15340,1,Todo bien
15341,2,No
15342,5,Bajen el precio de la crema.
15343,5,Todo delicioso.
15344,1,La mesa estaba sucia y se manchó mi camisa de caldo de pozole y eso que yo comí enfrijoladas gratinadas. La limpieza es importante.
15345,5,Muy buen servicio.
15346,1,El trapo con el que limpiaron la mesa tenía mal olor y se quedó todo el tiempo que consumimos el alimento. Tardan demasiado en traer la cuenta.
15347,5,Evitar comentarios sobre los comensales entre mesas sobre el tiempo de estancia dentro del restaurante.
15348,4,Tacos dorados de papa muy salados.
15349,1,Compré dos pozoles para llevar en la sucursal de Multiplaza y cuando llegué a casa no me pusieron la carne. Son descuidos que no pueden pasar; soy cliente frecuente de muchos años.
15350,2,Mi más grande descontento por el cambio de marca de la cerveza. 😡
15351,4,Pero
15352,5,Let's goooo
15353,4,La calidad de la comida es muy buena y el tiempo en el que los recibes es igual de bueno.
15354,2,"Creo que sus precios son accesibles, excepto por el tema de las bebidas, que sí se me hace excesivo."
15355,2,Todo excelente.
15356,4,Aguas de sabores (más variedad)
15357,2,Lo amo♥️
15358,1,"El mesero nos dijo que la propina ""se cobraba aparte"", por lo que mejor decidimos no dejar."
15359,1,"Todo bien, solo que la quesadilla de papa tenía un sabor raro, como ácido; la papa y el queso que llevaba mejoraron el sabor, pero me extrañó ese sabor como pasado."
15360,2,Encontré una diferencia muy marcada en esta sucursal; el tiempo de espera para alimentos fue más alto y se notaba que traían las cosas repetidas.
15361,5,Muy bueno
15362,2,El pozole estaba tibio.
15363,4,Sugiero que la carne del pozole de carne Marisa la dividan menos deshebrada.
15364,5,Solo que sepan qué es lo que ordenamos.
15365,2,"Todo bien, gracias."
15366,5,Muy rico todo.
15367,5,"Muy buen servicio, rápido y de buena calidad la comida. Sin duda, uno de mis lugares preferidos para almorzar. ☺️"
15368,5,"Excelente calidad, precio y servicio."
15369,2,excelente servicio
15370,2,Muy buen servicio.
15371,5,Bien
15372,2,Las tortillas estaban frías y un poco duras.
15373,2,"Octavio Tenorio me dio muy buen servicio. A otra chica le pedí sal y no me la trajo, y él se la pedí y de inmediato la tuve en la mesa. Y estuvo pendiente si me hacía falta algo, ¡muy atento! ¡Felicidades!"
15374,2,"Un poco más de atención al servicio y los tiempos, nunca se habían tardado tanto en darme los alimentos. Pedí varias cosas, por ejemplo, una quesadilla; pasaron más de 20 minutos y nunca me la dieron, pero sí venía el cobro en la cuenta. Les tuve que repetir en varias ocasiones lo que había pedido, pero aun así."
15375,2,"El servicio es excelente, la calidad de los alimentos es muy deficiente, en especial el arroz con leche."
15376,1,"Se tardaron con la cuenta, pero no hay problema; había mucha gente y es entendible."
15377,2,Poner sucursal en Toluca.
15378,5,Solo que no anden corriendo porque se pueden lastimar y provocar un accidente.
15379,1,"El servicio muy bueno, los alimentos también. El único problema para mí es que fui al baño, me lavé las manos y el papel con el que te secas las manos, al momento que se moja, huele a excremento. Disculpas, chéquenlo por favor, cambien de proveedor."
15380,5,"Suc. centro, el personal corre, me estresa. ¿Pasa algo afuera, adentro? ¿Algún accidente? No volveré a suc. centro."
15381,5,Buen servicio
15382,5,Un poco de música.
15383,5,"A las flautas ahogadas, por favor, pónganse más salsa."
15384,1,ninguna
15385,5,"Los meseros son excelentes muchachos educados, serviciales y atentos. Atención de calidad y rápida. Soy de Costa Rica y los recomiendo 1000%."
15386,5,El audio estaba muy alto.
15387,4,Sucursal en Querétaro
15388,4,"Que en las demás sucursales tengan la misma atención y amabilidad que esta, Gran Terraza."
15389,4,Esta sucursal es de nuestra preferencia por la atención y servicio rápidos.
15390,2,Un servicio excelente y es lo que cuenta mucho.
15391,5,"Abran sucursal en Orizaba, Veracruz. Yo la administro. Saludos, que sigan los éxitos. 🙌"
15392,5,"En esta ocasión, el tiempo de espera fue bastante."
15393,2,"Todo excelente, solo el capitán creo que debería ir al dentista o traer cubrebocas."
15394,5,Excelente trato de Fernando Hernández.
15395,1,"Todo bien el servicio, la comida, solo que las flautas estaban bien cocidas y con su quesillo, pero no tenían sabor. Toda la demás comida super bien."
15396,1,Luis
15397,5,"Muy buena atención, los chicos muy atentos con el servicio. Gracias por su atención 😉☺️"
15398,4,"Como recomendación, si pedimos dos o más platillos, por favor, servirlos de uno a uno o preguntar y, si es posible, traer refresco Jarritos. Gracias."
15399,1,Todo excelente.
15400,2,Que excelente servicio
15401,2,"Me encanta la casa de Toño, súper riquísimo y todo."
15402,4,Muchas gracias a Reyes y a Darío por su atención. Son muy serviciales y atentos.
15403,5,.
15404,5,Todo bien.
15405,5,"Rico, delicioso"
15406,5,Xxx
15407,1,En mi platillo de enchiladas verdes tenía pelos.
15408,5,Ninguno
15409,5,Son súper amables.
15410,5,Riquísimo
15411,2,"Excelente atención, servicio en sucursal Perinorte."
15412,5,"Hay lugares que tienen buena comida y mal servicio, otros buen servicio y comida no tan deliciosa. La Casa de Toño tiene buen servicio y buena comida."
15413,4,Todo bien
15414,1,"Las flautas estaban muy duras, pero todo lo demás muy bien."
15415,2,"Sólo que la limonada estaba muy azucarada y que el sope llegó frío, pero fuera de eso, todo estuvo excelente. 🫰🏻"
15416,1,"Por esta ocasión, el pozole no nos gustó mucho; le faltaba más sazón."
15417,2,"Todo excelente, gracias :)"
15418,5,Buen servicio
15419,5,Xd
15420,5,Todo está excelente y ¡qué buen servicio!
15421,1,"Cuidar la porción en el pozole, ya que me sirvieron muchísimo pollo y pocos granos de pozole. De lo demás, muy buen servicio y atención de su equipo de trabajo :)"
15422,2,Continúen en esa modalidad de trabajo de manera organizada y responsable; la comida es muy rica.
15423,5,Deberían tener un código 😎
15424,2,"El Capitán Gil, muy atento a su servicio y al pendiente de nuestra mesa, al igual que la gerencia."
15425,4,Excelente atención
15426,1,"Muy buen servicio, excelente atención al cliente."
15427,5,Muy bien el servicio.
15428,5,"Todo chido, comimos muy rico. 🗣️"
15429,5,"No, ninguna."
15430,5,"Felicitaciones a todo el equipo, excelente trabajo y servicio."
15431,2,El sabor de las flautas de res cambió drásticamente. Vuelvan al proveedor anterior.
15432,5,todo perfecto
15433,4,Gracias al mesero Óscar por su excelente servicio y actitud amable.
15434,4,Todo muy bien! No pregunten tanto si estamos siendo bien atendidos… fastidia un poco. Con una es suficiente. 😁
15435,2,"Néstor es muy bueno, por cierto, Multiplaza Izcalli :)♡"
15436,5,"La atención fue muy agradable, 😊 y la comida deliciosa."
15437,4,Cada vez hacen más pequeñas las porciones.
15438,2,Nos cobraron el queso sin decirnos.
15439,1,Atendido por José Benítez. Excelente.
15440,5,Excelente lugar y atención. Sorprendida con su sistema de servicio.
15441,5,Todo súper rico.
15442,1,Atendido excelente por el Señor José Benitez.
15443,1,Excelente servicio...
15444,1,Super atención
15445,5,"Andrade me atendió muy bien, excelente servicio."
15446,5,¡Excelente servicio!
15447,5,Buena atención y rapidez de las chicas que nos atendieron.
15448,1,Todo muy bien.
15449,4,Todo muy bien.
15450,2,La mesera que nos atendió fue bastante grosera. El capitán y el resto de empleados brindaron un excelente servicio.
15451,1,"Sigan así, nunca cambien."
15452,5,"Uriel Lozano, excelente tu servicio."
15453,4,Excelente ser
15454,1,Todos muy amables.
15455,2,"Excelente servicio, gracias."
15456,5,"La comida siempre espectacular, el servicio rápido y buenos precios. ¡Muchas gracias por ser un restaurante familiar con la mejor comida!"
15457,2,Que no corran los meseros; pueden causar un accidente.
15458,1,Todo muy delicioso. Cada vez que visito la ciudad llego.
15459,5,Melissa
15460,5,Todo excelente.
15461,4,"Por cada 10 encuestas que contestamos, deberíamos recibir un descuento."
15462,5,"Muy buen servicio, amabilidad y, sobre todo, se respira un buen ambiente."
15463,5,Demasiados pozoles y muy poca carne.
15464,2,El café de olla dalo en una de barro.
15465,1,"Todo bien, muchas felicidades por su atención, su servicio y el tiempo adecuado para traer."
15466,1,"Que corran, asusta."
15467,5,El servicio por parte de Uriel fue muy bueno y atento.
15468,2,"Todo bien, todo bien."
15469,2,"Te amo, Toño."
15470,5,Excelente servicio y deliciosa comida.
15471,5,"Atiende muy bien y es amable, Uriel Lozada."
15472,4,Me encanta venir.
15473,4,Café lechero con leche que no sea en polvo.
15474,5,Mejor olor al entrar.
15475,5,Todo muy rico y el personal muy amable.
15476,1,Excelente atención de la mesera Ramona y del capitán Sebastián. Muy agradable sonrisa.
15477,1,La capitana Mariana muy hábil.
15478,5,"Los canales de televisión, sinceramente, son repetitivos y aburren un poco."
15479,5,"Las enchiladas que pedí estaban un poquitito saladas, pero fuera de eso, todo estuvo muy bien, muy rico y el personal es muy amable."
15480,5,A veces siento que me corren de tanta insistencia.
15481,1,Tuvimos una cuestión y el capitán Sebastián resolvió muy bien en comparación del de azul.
15482,5,"Sigue siendo mi sucursal favorita, excelente atención y sabor."
15483,5,Muy buen servicio y rápido.
15484,4,"Solo en el estacionamiento, prefiero estacionarlo yo mismo siempre y cuando haya lugar como hoy. ¡No dejarlo a valer si no es necesario! Lo demás, muy bien. Gracias."
15485,1,Buen servicio y rico tofu.
15486,1,"Sólo que tengan cuidado al colocar los cubiertos, no ponerlos en la hoja de pedido, ya que es tocada por todos."
15487,2,Me gustó mucho la quesadilla sin grasa.
15488,2,Todo excelente.
15489,5,¡Entrega siempre muy rápida!
15490,4,Todo muy bien.
15491,5,Felicidades
15492,1,"No me gustó el sabor del pozole, no de la pata en comparación con otras casas de Toño."
15493,5,Sigan así.
15494,2,Excelente servicio y calidad.
15495,4,.
15496,2,"Ya subieron muchísimo sus precios. Ojalá así también suban la calidad de los alimentos. P. Ej., los trozos a veces están grandes y no está muy bien deshebrada la carne. Deberían incluir un poco de crema de cortesía para acompañar el pozole. Me faltaba comentar que encontré un pelo en mi pozole el 14/3/2025 entre las 8 y 9 p. m. El gerente fue muy amable al cambiar mi platillo; sin embargo, deja en duda y compromete la calidad de los alimentos."
15497,4,"En lo personal me gustaría que los sopes trajeran salsa base, roja o verde en vez de solo la de frijoles, tipo picaditas veracruzanas. Gracias, todo muy rico."
15498,2,"Los conozco desde que empezaron en Clavería, pues era vecino, vivía en Av. Las Granjas. Me da un enorme gusto ver cómo un mexicano la puede pegar en grande y además con un excelente servicio y calidad. ¡Felicidades! Que sigan los éxitos. franciscomoran68@live.com"
15499,1,José Miguel
15500,5,"Es el mejor lugar de comida mexicana que he visitado en mi vida, volvería siempre. Excelente en cada aspecto y cuidado al detalle."
15501,1,Buena atención del capitán Jesús Mirón.
15502,2,El personal se movilizó rápido cuando sonó la alarma sísmica. ¡Muy bien!
15503,1,Atención y amabilidad del capitán Jesús Mirón
15504,5,Excelente servicio
15505,4,Puntos bonus por contestar la encuesta.
15506,4,"Todo bien, ¡muchas gracias!"
15507,4,Muy buen servicio.
15508,1,Excelente servicio
15509,5,Todo excelente.
15510,5,"Excelente servicio que recibimos hoy en esta sucursal, se sacaron un súper 100000000, ¡gracias!"
15511,4,La comida está muy rica. Nos atendieron bien.
15512,5,"Que los meseros dejen de correr por el restaurante. El tiempo en el que están los alimentos es bueno, por ende se me hace innecesario que los meseros corran para entregar los platillos."
15513,1,"Presta más atención, ya que nunca se acercaron para atendernos."
15514,1,Gracias al mesero José Miguel 💜💜
15515,1,José Miguel
15516,2,Excelente calidad en la comida y la atención de su personal es extraordinaria.
15517,2,Todo perfecto
15518,5,Gracias
15519,2,Casi no hay señal en la sucursal.
15520,4,El pan de elote está muy seco.
15521,4,Integren el costo del estacionamiento al servicio. Esto debe ser cubierto por el establecimiento.
15522,5,Muy buen servicio.
15523,5,Hoy el sope estuvo muy bueno. Pongan agua de jamaica.
15524,5,"En las enchiladas, las tortillas estaban frías. El café tenía poco sabor a café."
15525,2,"Sí, que el personal no me interrumpa mientras como o platico y que al traer la cuenta verifiquen que sea correcta."
15526,1,Todo ok
15527,5,Nos vemos pronto.
15528,5,Valera
15529,5,"Excelentes meseros, muy buena atención."
15530,5,Todo muy bien.
15531,1,"Hace falta conexión a WiFi para los clientes, ya que muchas veces, por cuestión de trabajo, es necesario poder contar con eso."
15532,1,Excelente atención del capitán Ricardo.
15533,5,"Excelente servicio, muy buena atención."
15534,5,"Todo excelente, muchas gracias."
15535,5,"Mis molletes tenían dos pelitos, pero estaban bien buenos."
15536,5,Los platos de pozole deben llevar más caldito.
15537,5,Muy rico
15538,1,Ya no capaciten gente en la sucursal. Estaban crudos los huevos y los frijoles hechos bola.
15539,2,Alejandro
15540,2,Sin comentarios
15541,1,Sería muy bueno disfrutar de unas ricas enmoladas.
15542,2,Excelente servicio
15543,2,Héctor.
15544,1,Bajó un poco la calidad de los alimentos.
15545,5,Excelente en todos los aspectos.
15546,5,"Excelente atención, calidad y sabor en los alimentos."
15547,5,¡Excelente todo!
15548,4,La comida hoy en particular no fue buena a pesar de que soy cliente frecuente.
15549,5,Perfecto
15550,5,La comida más caliente.
15551,1,Na
15552,5,Muy rico el flan de la abuela de Toño.
15553,5,Los alimentos no tenían mucho sabor y considero que las porciones son muy grandes.
15554,5,Gracias 😊
15555,5,Excelente ambiente y todo cómodo.
15556,5,"Excelente servicio, traten bien y paguen bien a sus empleados para que sigamos teniendo un excelente servicio."
15557,2,Que no me suban tan frecuentemente los precios. Un refresco a 43 es muy alto.
15558,1,Que el formato para ordenar sea amigable para su comprensión.
15559,2,"El pan es muy malo, los bolillos excesivamente pequeños y el pan dulce de muy mala calidad."
15560,5,"Que tengan más variedad en sus respuestas para la encuesta. No pude colocar intermedio sin sentirme mal. Mejor que en las demás respuestas también se pueda escribir la opinión y no sólo apretarla. Fuera de eso, todo genial. Adiós y buenas noches, tardes o días. Bye."
15561,5,Pongan mole.
15562,5,Mi buena experiencia
15563,4,Gracias
15564,4,La tortilla del sope estaba muy dura.
15565,4,"Los precios ya son muy excesivos, me sorprendió que para agregar un huevo a unos chilaquiles el costo suba $20... siento que antes los precios estaban mejor en cuanto a la relación del lugar y la comida."
15566,5,Todo excelente. Muy delicioso y atención rápida.
15567,2,Muy buen servicio.
15568,5,Ninguna
15569,2,"Excelente servicio, en especial de nuestro mesero Alexander."
15570,2,Alex
15571,1,Me gusta
15572,4,Muchas gracias.
15573,2,"DEBEN AGREGAR A SU MENÚ refresco JARRITOS ya que son mexicanos y ustedes venden comida mexicana; por ende, tiene que acompañarse de un buen refresco mexicano, además de que son deliciosos."
15574,1,Que tuviera señal.
15575,5,Gallo
15576,4,"Sigan mejorando, van bien."
15577,5,El pollo desmenuzado tanto de sopes como de enfrijoladas está demasiado frío. Pareciera como si lo acabaran de descongelar porque incluso está todo apelmazado. Es lo único que en general mejoraría.
15578,1,No
15579,4,Siempre buena la comida.
15580,4,La pata para las tostadas debe llevar vinagre.
15581,2,Son excelentes.
15582,4,"La persona de la caja tiene el control de la persiana y la abre sin considerar al comensal. El sol nos dio directamente y fue incómodo. Pedimos que la bajaran y minutos después la volvió a subir. Me vio que le hice ver que no estaba bien y, aún así, la volvió a subir mostrando intransigencia."
15583,1,"El jugo de naranja sabe feo, por la mezcla de lo natural y el regreso que le ponen."
15584,5,Muy ensimosos los meseros.
15585,4,Felicidades por consolidar un excelente equipo de trabajo.
15586,1,"Ninguno, la señorita Clara nos atendió muy bien."
15587,4,David Santiago
15588,2,huele mucho a pozole
15589,2,Muy guapa la capitana.
15590,1,Que los jugos verdes no sean tan dulces ni artificiales.
15591,4,"Cuidar a su personal, que es excelente ❤️"
15592,5,El pan de elote fue servido frío; a una temperatura más cálida estaría mejor.
15593,2,Si el jefe Beto es un tremendo ojete.
15594,5,El servicio es excelente y la rapidez y compromiso del equipo son inigualables; sigan así.
15595,2,"En las enfrijoladas, los frijoles sabían agrios; deben tener más cuidado con la caducidad de los alimentos, ya que puede ser dañino para la salud."
15596,5,"Excelente atención del personal. Daniel Quirino, excelente servicio."
15597,1,"Todo perfecto, servicio, calidad y precio."
15598,5,A mí y a mi familia nos pareció súper buena la atención que se nos brindó.
15599,4,lindo servicio
15600,5,"El trato del personal es excelente, por lo que espero estén tratados dignamente en el ámbito laboral y su ambiente sea con calidez y empatía."
15601,1,Todo muy bien.
15602,1,"Soy vegetariano, pedí sopes con mi familia y además de los hongos tenía algo de carne. Solo eso, muchas gracias."
15603,5,"A todos los regios nos encanta la Casa de Toño, este tipo de servicio excelente no existe allá."
15604,4,Gracias.
15605,4,El aire estaba un poco fuerte que me dio frío.
15606,4,Los chilaquiles rojos del día de hoy no estuvieron muy buenos.
15607,4,¿Por qué todo el tiempo corren los meseros? Me estresa comer donde todo el mundo corre; pueden ocasionar un accidente.
15608,2,Todo bien.
15609,1,Todo excelente
15610,4,Todo muy rico.
15611,1,"Su chocolate sabe a jabón, el café bien quemado. 🧼🖕"
15612,2,"Muy amables, todos."
15613,1,excelente servicio
15614,5,Todo bien.
15615,5,"Excelente servicio del personal, excelente la comida."
15616,4,"Todo excelente, pero lo único es que cuando he venido en las noches ponen música asquerosa (bandas y corridos) y muchas veces, por esa razón, he evitado venir a cenar aquí. Gracias."
15617,5,Muy buen lugar y muy rico.
15618,4,"Excelente calidad, atención y súper atentos."
15619,4,El jugo sabe muy artificial.
15620,4,"El pollo de las enfrijoladas estaba muy salado, los meseros se la pasan corriendo y es estresante. ¿Por qué tiran las bolsas en lugar de reciclarlas?"
15621,5,Excelente
15622,5,No regañen a los meseros. Saludos.
15623,2,Gracias
15624,2,"Como sugerencia, que la salsa no tenga tanto vinagre o anexar al menú unos chiles toreados."
15625,5,"Excelente calidad, servicio y precio."
15626,5,Ninguno
15627,2,muy bueno
15628,2,Excelente servicio y atención en todo momento.
15629,5,No
15630,5,El servicio y sabor de los platillos es muy bueno.
15631,5,Excelente servicio y rico sazón.
15632,1,Deben decirle a la gente que el café ya viene con azúcar. Nosotros no vemos que es de máquina. Hay personas que no deben consumir azúcar. Niños y no les andamos probando el café como esquizofrénicos. Gracias.
15633,1,Excelente todo.
15634,5,Excelente servicio y rapidez.
15635,5,"Somos de Xalapa, Veracruz, y nos gusta comer aquí desde hace 8 años, pero hemos notado que ha bajado la calidad del servicio. Solo sugerimos poner atención en eso."
15636,1,Na
15637,1,Todo muy bien.
15638,2,"Hoy, tardaron en traer pan; hasta en la tercera ocasión lo hicieron."
15639,4,.
15640,2,Muy rica la comida.
15641,5,Muy buen servicio. Muy buen servicio.
15642,4,Excelente servicio
15643,5,No es necesario que los meseros corran.
15644,4,Falta donde conectar los celulares.
15645,5,Qué regalen totopos o algún aperitivo.
15646,1,"Todo muy bien, gracias."
